"ï..Giorno","day","month","year","newdate","weekend","matches","Vacanze","INVERNO","PRIMAVERA","ESTATE","AUTUNNO","Eventi.televisivi","FENOMENI","temp_media","sole","precipitazioni","nebbia"
"Thursday",12,3,2020,"2020-03-12",0,0,0,1,0,0,0,0,"",13,1,0,0
"Friday",13,3,2020,"2020-03-13",0,0,0,1,0,0,0,0,"",15,1,0,0
"Saturday",14,3,2020,"2020-03-14",1,0,0,1,0,0,0,1,"",10,1,0,0
"Sunday",15,3,2020,"2020-03-15",1,0,0,1,0,0,0,0,"",10,1,0,0
"Monday",16,3,2020,"2020-03-16",0,0,0,1,0,0,0,0,"",10,1,0,0
"Tuesday",17,3,2020,"2020-03-17",0,0,0,1,0,0,0,0,"",11,1,0,0
"Wednesday",18,3,2020,"2020-03-18",0,0,0,1,0,0,0,0,"",13,1,0,0
"Thursday",19,3,2020,"2020-03-19",0,0,0,1,0,0,0,0,"",15,1,0,0
"Friday",20,3,2020,"2020-03-20",0,0,0,0,1,0,0,0,"",15,1,0,0
"Saturday",21,3,2020,"2020-03-21",1,0,0,0,1,0,0,0,"",14,1,0,0
"Sunday",22,3,2020,"2020-03-22",1,0,0,0,1,0,0,0,"",11,1,0,0
"Monday",23,3,2020,"2020-03-23",0,0,0,0,1,0,0,0,"",7,1,0,0
"Tuesday",24,3,2020,"2020-03-24",0,0,0,0,1,0,0,0,"",7,1,0,0
"Wednesday",25,3,2020,"2020-03-25",0,0,0,0,1,0,0,0,"",6,1,0,0
"Thursday",26,3,2020,"2020-03-26",0,0,0,0,1,0,0,0,"precipitazioni",3,0,1,0
"Friday",27,3,2020,"2020-03-27",0,0,0,0,1,0,0,0,"precipitazioni",8,0,1,0
"Saturday",28,3,2020,"2020-03-28",1,0,0,0,1,0,0,0,"",14,1,0,0
"Sunday",29,3,2020,"2020-03-29",1,0,0,0,1,0,0,0,"",14,1,0,0
"Monday",30,3,2020,"2020-03-30",0,0,0,0,1,0,0,0,"precipitazioni",12,0,1,0
"Tuesday",31,3,2020,"2020-03-31",0,0,0,0,1,0,0,0,"precipitazioni",8,0,1,0
"Wednesday",1,4,2020,"2020-04-01",0,0,0,0,1,0,0,0,"",7,1,0,0
"Thursday",2,4,2020,"2020-04-02",0,0,0,0,1,0,0,0,"",9,1,0,0
"Friday",3,4,2020,"2020-04-03",0,0,0,0,1,0,0,0,"",11,1,0,0
"Saturday",4,4,2020,"2020-04-04",1,0,0,0,1,0,0,0,"",13,1,0,0
"Sunday",5,4,2020,"2020-04-05",1,0,0,0,1,0,0,0,"",14,1,0,0
"Monday",6,4,2020,"2020-04-06",0,0,0,0,1,0,0,0,"",16,1,0,0
"Tuesday",7,4,2020,"2020-04-07",0,0,0,0,1,0,0,0,"",17,1,0,0
"Wednesday",8,4,2020,"2020-04-08",0,0,0,0,1,0,0,0,"",17,1,0,0
"Thursday",9,4,2020,"2020-04-09",0,0,1,0,1,0,0,0,"",20,1,0,0
"Friday",10,4,2020,"2020-04-10",0,0,1,0,1,0,0,0,"",20,1,0,0
"Saturday",11,4,2020,"2020-04-11",1,0,1,0,1,0,0,0,"",21,1,0,0
"Sunday",12,4,2020,"2020-04-12",1,0,1,0,1,0,0,0,"",20,1,0,0
"Monday",13,4,2020,"2020-04-13",0,0,1,0,1,0,0,0,"",18,1,0,0
"Tuesday",14,4,2020,"2020-04-14",0,0,1,0,1,0,0,0,"",18,1,0,0
"Wednesday",15,4,2020,"2020-04-15",0,0,0,0,1,0,0,0,"",13,1,0,0
"Thursday",16,4,2020,"2020-04-16",0,0,0,0,1,0,0,0,"",16,1,0,0
"Friday",17,4,2020,"2020-04-17",0,0,0,0,1,0,0,0,"",18,1,0,0
"Saturday",18,4,2020,"2020-04-18",1,0,0,0,1,0,0,0,"",19,1,0,0
"Sunday",19,4,2020,"2020-04-19",1,0,0,0,1,0,0,0,"precipitazioni",19,0,1,0
"Monday",20,4,2020,"2020-04-20",0,0,0,0,1,0,0,0,"precipitazioni",13,0,1,0
"Tuesday",21,4,2020,"2020-04-21",0,0,0,0,1,0,0,0,"precipitazioni",12,0,1,0
"Wednesday",22,4,2020,"2020-04-22",0,0,0,0,1,0,0,0,"",16,1,0,0
"Thursday",23,4,2020,"2020-04-23",0,0,0,0,1,0,0,0,"",17,1,0,0
"Friday",24,4,2020,"2020-04-24",0,0,0,0,1,0,0,0,"",19,1,0,0
"Saturday",25,4,2020,"2020-04-25",1,0,1,0,1,0,0,0,"",20,1,0,0
"Sunday",26,4,2020,"2020-04-26",1,0,0,0,1,0,0,0,"",19,1,0,0
"Monday",27,4,2020,"2020-04-27",0,0,0,0,1,0,0,0,"",20,1,0,0
"Tuesday",28,4,2020,"2020-04-28",0,0,0,0,1,0,0,0,"precipitazioni",17,0,1,0
"Wednesday",29,4,2020,"2020-04-29",0,0,0,0,1,0,0,0,"",20,1,0,0
"Thursday",30,4,2020,"2020-04-30",0,0,0,0,1,0,0,0,"",19,1,0,0
"Friday",1,5,2020,"2020-05-01",0,0,1,0,1,0,0,0,"",18,1,0,0
"Saturday",2,5,2020,"2020-05-02",1,0,0,0,1,0,0,0,"",22,1,0,0
"Sunday",3,5,2020,"2020-05-03",1,0,0,0,1,0,0,0,"",21,1,0,0
"Monday",4,5,2020,"2020-05-04",0,0,0,0,1,0,0,0,"",20,1,0,0
"Tuesday",5,5,2020,"2020-05-05",0,0,0,0,1,0,0,0,"",21,1,0,0
"Wednesday",6,5,2020,"2020-05-06",0,0,0,0,1,0,0,0,"",20,1,0,0
